,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34
Node 1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,2,1,3,1,3,1,3,3,2,2,3,2,2,3,2,1,2,2
Node 2,1,0,1,1,2,2,2,1,2,2,2,2,2,1,3,3,3,1,3,1,3,1,3,3,3,3,3,2,2,3,1,2,2,2
Node 3,1,1,0,1,2,2,2,1,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,3,3,1,1,2,2,2,1,2
Node 4,1,1,1,0,2,2,2,1,2,2,2,2,1,1,3,3,3,2,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2
Node 5,1,2,2,2,0,2,1,2,2,3,1,2,2,2,4,4,2,2,4,2,4,2,4,4,3,3,4,3,3,4,3,2,3,3
Node 6,1,2,2,2,2,0,1,2,2,3,1,2,2,2,4,4,1,2,4,2,4,2,4,4,3,3,4,3,3,4,3,2,3,3
Node 7,1,2,2,2,1,1,0,2,2,3,2,2,2,2,4,4,1,2,4,2,4,2,4,4,3,3,4,3,3,4,3,2,3,3
Node 8,1,1,1,1,2,2,2,0,2,2,2,2,2,2,3,3,3,2,3,2,3,2,3,3,3,3,4,2,2,3,2,2,2,3
Node 9,1,2,1,2,2,2,2,2,0,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,1
Node 10,2,2,1,2,3,3,3,2,2,0,3,3,3,2,2,2,4,3,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,1
Node 11,1,2,2,2,1,1,2,2,2,3,0,2,2,2,4,4,2,2,4,2,4,2,4,4,3,3,4,3,3,4,3,2,3,3
Node 12,1,2,2,2,2,2,2,2,2,3,2,0,2,2,4,4,3,2,4,2,4,2,4,4,3,3,4,3,3,4,3,2,3,3
Node 13,1,2,2,1,2,2,2,2,2,3,2,2,0,2,4,4,3,2,4,2,4,2,4,4,3,3,4,3,3,4,3,2,3,3
Node 14,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1
Node 15,3,3,2,3,4,4,4,3,2,2,4,4,4,2,0,2,5,4,2,2,2,4,2,2,3,3,2,2,2,2,2,2,1,1
Node 16,3,3,2,3,4,4,4,3,2,2,4,4,4,2,2,0,5,4,2,2,2,4,2,2,3,3,2,2,2,2,2,2,1,1
Node 17,2,3,3,3,2,1,1,3,3,4,2,3,3,3,5,5,0,3,5,3,5,3,5,5,4,4,5,4,4,5,4,3,4,4
Node 18,1,1,2,2,2,2,2,2,2,3,2,2,2,2,4,4,3,0,4,2,4,2,4,4,3,3,4,3,3,4,2,2,3,3
Node 19,3,3,2,3,4,4,4,3,2,2,4,4,4,2,2,2,5,4,0,2,2,4,2,2,3,3,2,2,2,2,2,2,1,1
Node 20,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,0,2,2,2,2,3,3,2,2,2,2,2,2,2,1
Node 21,3,3,2,3,4,4,4,3,2,2,4,4,4,2,2,2,5,4,2,2,0,4,2,2,3,3,2,2,2,2,2,2,1,1
Node 22,1,1,2,2,2,2,2,2,2,3,2,2,2,2,4,4,3,2,4,2,4,0,4,4,3,3,4,3,3,4,2,2,3,3
Node 23,3,3,2,3,4,4,4,3,2,2,4,4,4,2,2,2,5,4,2,2,2,4,0,2,3,3,2,2,2,2,2,2,1,1
Node 24,3,3,2,3,4,4,4,3,2,2,4,4,4,2,2,2,5,4,2,2,2,4,2,0,2,1,2,1,2,1,2,2,1,1
Node 25,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,0,1,3,1,2,3,3,1,2,2
Node 26,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,1,1,0,3,2,2,2,3,1,2,2
Node 27,3,3,3,3,4,4,4,4,2,2,4,4,4,2,2,2,5,4,2,2,2,4,2,2,3,3,0,2,2,1,2,2,2,1
Node 28,2,2,1,2,3,3,3,2,2,2,3,3,3,2,2,2,4,3,2,2,2,3,2,1,1,2,2,0,2,2,2,2,2,1
Node 29,2,2,1,2,3,3,3,2,2,2,3,3,3,2,2,2,4,3,2,2,2,3,2,2,2,2,2,2,0,2,2,1,2,1
Node 30,3,3,2,3,4,4,4,3,2,2,4,4,4,2,2,2,5,4,2,2,2,4,2,1,3,2,1,2,2,0,2,2,1,1
Node 31,2,1,2,2,3,3,3,2,2,2,3,3,3,2,2,2,4,2,2,2,2,2,2,2,3,3,2,2,2,2,0,2,1,1
Node 32,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,1,2,2,0,1,1
Node 33,2,2,1,2,3,3,3,2,1,2,3,3,3,2,1,1,4,3,1,2,1,3,1,1,2,2,2,2,2,1,1,1,0,1
Node 34,2,2,2,2,3,3,3,3,1,1,3,3,3,1,1,1,4,3,1,1,1,3,1,1,2,2,1,1,1,1,1,1,1,0
