#Weighted Not oriented:	 FALSE TRUE
#Node names:	1 : Node 1	2 : Node 2	3 : Node 3	4 : Node 4	5 : Node 5	6 : Node 6	7 : Node 7	8 : Node 8	9 : Node 9	10 : Node 10	11 : Node 11	12 : Node 12	13 : Node 13	14 : Node 14	15 : Node 15	16 : Node 16	17 : Node 17	18 : Node 18	19 : Node 19	20 : Node 20	21 : Node 21	22 : Node 22	23 : Node 23	24 : Node 24	25 : Node 25	26 : Node 26	27 : Node 27	28 : Node 28	29 : Node 29	30 : Node 30	31 : Node 31	32 : Node 32	33 : Node 33	34 : Node 34
Degree	Local_transitivity	Betweenness
Node 1	16	0.15	231.071428571429
Node 2	9	0.333333333333333	32.4785714285714
Node 3	10	0.244444444444444	76.0174603174603
Node 4	6	0.666666666666667	6.4547619047619
Node 5	3	0.666666666666667	0.333333333333333
Node 6	4	0.5	15.8333333333333
Node 7	4	0.5	15.8333333333333
Node 8	4	1	0
Node 9	4	0.5	25.3626984126984
Node 10	2	0	0.447619047619048
Node 11	3	0.666666666666667	0.333333333333333
Node 12	1	NA	0
Node 13	2	1	0
Node 14	5	0.6	24.215873015873
Node 15	2	1	0
Node 16	2	1	0
Node 17	2	1	0
Node 18	2	1	0
Node 19	2	1	0
Node 20	3	0.333333333333333	17.1468253968254
Node 21	2	1	0
Node 22	2	1	0
Node 23	2	1	0
Node 24	5	0.4	9.3
Node 25	3	0.333333333333333	1.16666666666667
Node 26	3	0.333333333333333	2.02777777777778
Node 27	2	1	0
Node 28	4	0.166666666666667	11.7920634920635
Node 29	3	0.333333333333333	0.947619047619048
Node 30	4	0.666666666666667	1.54285714285714
Node 31	3	0.333333333333333	7.27619047619048
Node 32	6	0.2	73.0095238095238
Node 33	12	0.181818181818182	77.3571428571429
Node 34	17	0.102941176470588	161.051587301587
#BFS Shortest distance matrix
Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14	Node 15	Node 16	Node 17	Node 18	Node 19	Node 20	Node 21	Node 22	Node 23	Node 24	Node 25	Node 26	Node 27	Node 28	Node 29	Node 30	Node 31	Node 32	Node 33	Node 34
Node 1	0	1	1	1	1	1	1	1	1	3	1	1	1	1	3	3	2	1	3	1	3	1	3	3	2	2	3	3	2	3	3	1	2	2
Node 2	1	0	1	1	2	2	2	1	3	3	2	2	2	1	3	3	3	1	3	1	3	1	3	3	4	4	3	3	3	3	1	3	2	2
Node 3	1	1	0	1	2	2	2	1	1	1	2	2	2	1	2	2	3	2	2	3	2	2	2	2	3	3	3	1	1	2	2	2	1	2
Node 4	1	1	1	0	2	2	2	1	3	3	2	2	1	1	3	3	3	2	3	3	3	2	3	3	4	4	3	3	3	3	3	3	3	2
Node 5	1	2	2	2	0	2	1	2	2	4	1	2	2	2	4	4	3	2	4	2	4	2	4	4	3	3	4	4	3	4	4	2	3	3
Node 6	1	2	2	2	2	0	1	2	2	4	1	2	2	2	4	4	1	2	4	2	4	2	4	4	3	3	4	4	3	4	4	2	3	3
Node 7	1	2	2	2	1	1	0	2	2	4	2	2	2	2	4	4	1	2	4	2	4	2	4	4	3	3	4	4	3	4	4	2	3	3
Node 8	1	1	1	1	2	2	2	0	4	4	2	2	2	2	4	4	3	2	4	4	4	2	4	4	5	5	4	4	4	4	4	4	4	3
Node 9	1	3	1	4	2	2	2	4	0	2	2	2	5	2	2	2	3	4	2	2	2	4	2	2	3	3	2	2	2	2	2	2	1	1
Node 10	3	4	1	4	4	4	4	4	2	0	4	4	4	2	2	2	5	4	2	2	2	4	2	2	3	3	2	2	2	2	2	2	2	1
Node 11	1	2	2	2	1	1	2	2	2	4	0	2	2	2	4	4	2	2	4	2	4	2	4	4	3	3	4	4	3	4	4	2	3	3
Node 12	1	2	2	2	2	2	2	2	2	4	2	0	2	2	4	4	3	2	4	2	4	2	4	4	3	3	4	4	3	4	4	2	3	3
Node 13	1	2	2	1	2	2	2	2	4	4	2	2	0	2	4	4	3	3	4	4	4	3	4	4	5	5	4	4	4	4	4	4	4	3
Node 14	1	1	1	1	2	2	2	2	2	2	2	2	2	0	2	2	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	1
Node 15	3	4	4	4	4	4	4	4	2	2	4	4	4	2	0	2	5	4	2	2	2	4	2	2	3	3	2	2	2	2	2	2	1	1
Node 16	3	4	4	4	4	4	4	4	2	2	4	4	4	2	2	0	5	4	2	2	2	4	2	2	3	3	2	2	2	2	2	2	1	1
Node 17	2	3	3	3	2	1	1	3	3	5	3	3	3	3	5	5	0	3	5	3	5	3	5	5	4	4	5	5	4	5	5	3	4	4
Node 18	1	1	2	2	2	2	2	2	4	4	2	2	3	2	4	4	3	0	4	2	4	2	4	4	5	5	4	4	4	4	2	4	3	3
Node 19	3	4	4	4	4	4	4	4	2	2	4	4	4	2	2	2	5	4	0	2	2	4	2	2	3	3	2	2	2	2	2	2	1	1
Node 20	1	1	3	4	2	2	2	4	2	2	2	2	5	2	2	2	3	2	2	0	2	2	2	2	3	3	2	2	2	2	2	2	2	1
Node 21	3	4	4	4	4	4	4	4	2	2	4	4	4	2	2	2	5	4	2	2	0	4	2	2	3	3	2	2	2	2	2	2	1	1
Node 22	1	1	2	2	2	2	2	2	4	4	2	2	3	2	4	4	3	2	4	2	4	0	4	4	5	5	4	4	4	4	2	4	3	3
Node 23	3	4	4	4	4	4	4	4	2	2	4	4	4	2	2	2	5	4	2	2	2	4	0	2	3	3	2	2	2	2	2	2	1	1
Node 24	3	4	4	4	4	4	4	4	2	2	4	4	4	2	2	2	5	4	2	2	2	4	2	0	3	1	2	1	2	1	2	2	1	1
Node 25	2	4	5	5	3	3	3	5	3	3	3	3	6	3	3	3	4	5	3	3	3	5	3	3	0	1	3	1	2	3	3	1	2	2
Node 26	2	4	5	5	3	3	3	5	3	3	3	3	6	3	3	3	4	5	3	3	3	5	3	1	1	0	3	3	2	3	3	1	2	2
Node 27	4	4	3	4	5	5	5	4	2	2	5	5	5	2	2	2	6	5	2	2	2	5	2	2	3	3	0	2	2	1	2	2	2	1
Node 28	3	4	1	4	4	4	4	4	2	2	4	4	4	2	2	2	5	4	2	2	2	4	2	1	1	3	2	0	2	2	2	2	2	1
Node 29	4	3	1	4	5	5	5	4	2	2	5	5	5	2	2	2	6	4	2	2	2	4	2	2	3	4	2	2	0	2	2	1	2	1
Node 30	3	4	4	4	4	4	4	4	2	2	4	4	4	2	2	2	5	4	2	2	2	4	2	1	3	3	1	2	2	0	2	2	1	1
Node 31	3	1	4	4	4	4	4	4	2	2	4	4	4	2	2	2	5	4	2	2	2	4	2	2	3	3	2	2	2	2	0	2	1	1
Node 32	1	3	4	4	2	2	2	4	2	2	2	2	5	2	2	2	3	4	2	2	2	4	2	2	1	1	2	2	1	2	2	0	1	1
Node 33	3	3	1	4	4	4	4	4	1	2	4	4	5	2	1	1	5	4	1	2	1	4	1	1	3	4	2	2	2	1	1	1	0	1
